"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","FRGB","FRGT","FRTH","GAHT","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00014826","FLINT FCWOS, MI US","1960-04-25",,,,,,,,,,"0.93","0.0","0.0",,"63","44",,,,,,,,,,,"    1",,"    1",,,,,"    1",,,,,,,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-26",,,,,,,,,,"0.08","0.0","0.0",,"51","39",,,,,,,,,,,"    1",,"    1",,,,,"    1",,,,,"    1",,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-27",,,,,,,,,,"0.00","0.0","0.0",,"58","33",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-28",,,,,,,,,,"0.00","0.0","0.0",,"59","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-29",,,,,,,,,,"0.00","0.0","0.0",,"59","40",,,,,,,,,,,"    1",,,,,,,"    1",,,,,"    1",,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-30",,,,,,,,,,"0.19","0.0","0.0",,"64","38",,,,,,,,,,,"    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-05-01",,,,,,,,,,"0.00","0.0","0.0",,"53","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-05-02",,,,,,,,,,"0.00","0.0","0.0",,"67","37",,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-05-03",,,,,,,,,,"0.00","0.0","0.0",,"74","51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-05-04",,,,,,,,,,"0.00","0.0","0.0",,"77","47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-05-05",,,,,,,,,,"0.00","0.0","0.0",,"80","54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-05-06",,,,,,,,,,"0.09","0.0","0.0",,"75","57",,,,,,,,,,,"    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-05-07",,,,,,,,,,"0.02","0.0","0.0",,"62","37",,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,
